index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Mortierellomycota,k__Fungi;__,k__Fungi;p__Fungi_phy_Incertae_sedis,k__Fungi;p__Zoopagomycota,k__Rhizaria;p__Cercozoa,k__Fungi;p__Rozellomycota,Unassigned;__,k__Fungi;p__Chytridiomycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Olpidiomycota,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis,k__Fungi;p__Monoblepharomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mucoromycota,k__Stramenopila;p__Ochrophyta,k__Viridiplantae;p__Anthophyta,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Sanchytriomycota,k__Metazoa;p__Chordata,k__Fungi;p__Basidiobolomycota,k__Viridiplantae;__,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,pH_category,Age_category
ChurchFarm,1412.0,7449.0,286.0,535.0,508.0,184.0,463.0,18.0,31.0,20.0,17.0,0.0,6.0,69.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35;nan,2012,9,SU0979864321,"51.377859, -1.8606121",seed_mix,8.63,20.7,Yes,Yes,Yes,No,Above_median,Below_median
StowellFarms_1_adj,702.0,4719.0,4029.0,1138.0,264.0,4.0,6.0,43.0,14.0,6.0,67.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36;nan,2015,6,SU1362464180,"51.376513, -1.8056466",seed_mix,6.6,21.8,Yes,Yes,Yes,Yes,Below_median,Below_median
MannorFmAltonBarnes,918.0,6360.0,1613.0,599.0,446.0,118.0,371.0,71.0,137.0,211.0,55.0,50.0,13.0,3.0,10.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,nan,2012,9,SU1211561331,"51.35093, -1.827423",seed_mix,8.07,21.6,Yes,Yes,Yes,No,Above_median,Below_median
HommingtonFarm,1259.0,3066.0,4423.0,1557.0,374.0,77.0,87.0,0.0,107.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38;nan,2014,7,SU1332825982,"51.033048, -1.811306",seed_mix,8.22,26.3,Yes,Yes,Yes,Yes,Above_median,Below_median
ThropeManor_1,680.0,7023.0,1254.0,485.0,355.0,132.0,40.0,762.0,26.0,65.0,100.0,0.0,5.0,29.0,0.0,0.0,25.0,2.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,39;nan,2002,19,SU0886123850,"51.013962, -1.8750607",seed_mix,7.54,78.1,Yes,No,Yes,No,Below_median,Above_median
ThropeManor_2,1365.0,5069.0,1611.0,2122.0,497.0,197.0,21.0,55.0,25.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40;nan,1998,23,SU0843924348,"51.018447, -1.8810649",seed_mix,7.73,28.8,Yes,No,Yes,Yes,Below_median,Above_median
ThropeManor_3,2215.0,4510.0,900.0,2166.0,471.0,208.0,73.0,87.0,327.0,22.0,14.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41;nan,2000,21,SU0901525189,"51.026001, -1.8728325",seed_mix,8.13,28.5,Yes,No,Yes,No,Above_median,Above_median
MannorFmBroadChalke,1260.0,4753.0,2182.0,1851.0,502.0,176.0,74.0,91.0,6.0,11.0,33.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42;nan,2010,11,SU0468023121,"51.007455, -1.9346701",Green_hay_bush,8.24,24.3,No,No,Yes,No,Above_median,Below_median
BigleyFm_1,5442.0,2780.0,837.0,944.0,592.0,102.0,74.0,102.0,108.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43;nan,2014,7,ST9798720966,"50.988091, -2.0300532",seed_mix,8.1,31.3,Yes,Yes,Yes,Yes,Above_median,Below_median
BigleyFm_2,1035.0,5172.0,1785.0,1696.0,705.0,140.0,31.0,308.0,47.0,7.0,61.0,2.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44;nan,2017,4,ST9796821801,"50.9956, -2.0303288",seed_mix,7.35,46.8,Yes,Yes,Yes,Yes,Below_median,Below_median
