sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
GP198	64414	60243	93.52	57294	45889	71.24	43892	68.14
GP199	66525	62132	93.4	58660	47352	71.18	45392	68.23
GP200	63940	59648	93.29	56509	46902	73.35	45058	70.47
GP201	59618	56035	93.99	52065	40023	67.13	37923	63.61
GP202	66151	60738	91.82	56524	42730	64.59	40377	61.04
GP203	64727	59212	91.48	55446	43259	66.83	41430	64.01
GP204	62663	57177	91.25	53655	41695	66.54	39854	63.6
GP205	62898	57895	92.05	54159	40772	64.82	38661	61.47
GP206	62167	56655	91.13	53109	40879	65.76	38815	62.44
GP207	66492	60589	91.12	57205	44681	67.2	42679	64.19
GP208	66532	62369	93.74	59002	48977	73.61	47401	71.25
GP209	77100	72022	93.41	67383	51467	66.75	48917	63.45
GP210	75440	71113	94.26	66297	50568	67.03	47962	63.58
GP211	65607	61462	93.68	56468	38722	59.02	34526	52.63
GP212	74524	70459	94.55	66020	51596	69.23	48511	65.09
GP213	65591	61933	94.42	58331	48018	73.21	46275	70.55
GP214	78516	73537	93.66	67396	45577	58.05	42104	53.62
GP215	78849	71899	91.19	67841	55276	70.1	53119	67.37
GP216	64639	59395	91.89	55755	43711	67.62	41775	64.63
GP217	65607	60931	92.87	57444	45691	69.64	43805	66.77
GP218	64848	59275	91.41	55305	42202	65.08	39821	61.41
GP219	65214	60226	92.35	56176	42961	65.88	40696	62.4
GP220	66739	63258	94.78	59583	48487	72.65	46559	69.76
GP221	64873	60885	93.85	56061	40531	62.48	37504	57.81
GP222	73794	68897	93.36	62396	38138	51.68	31675	42.92
GP223	65394	60596	92.66	56057	39309	60.11	34934	53.42
GP224	65039	60133	92.46	56341	44329	68.16	42205	64.89
GP225	66174	61483	92.91	57599	45576	68.87	43050	65.06
GP226	75344	65788	87.32	62312	50912	67.57	49206	65.31
GP227	65797	56805	86.33	53303	41572	63.18	39895	60.63
GP228	63387	54706	86.3	51915	42364	66.83	40857	64.46
GP229	65583	56494	86.14	53497	43426	66.22	41943	63.95
GP230	64203	55527	86.49	52207	41859	65.2	40445	63
GP231	75477	66923	88.67	62776	49925	66.15	47669	63.16
GP232	66347	61798	93.14	57790	44960	67.76	42718	64.39
GP233	63192	57757	91.4	53491	39106	61.88	36803	58.24
GP234	63198	58966	93.3	55073	41881	66.27	39461	62.44
GP235	66221	61692	93.16	57662	44901	67.8	42585	64.31
GP236	77969	71501	91.7	66407	51104	65.54	49148	63.04
GP237	65611	59770	91.1	55201	41790	63.69	40117	61.14
GP238	65209	59685	91.53	55888	45493	69.76	44107	67.64
GP239	63751	58287	91.43	54477	43876	68.82	42505	66.67
GP240	64774	57439	88.68	53855	43665	67.41	42324	65.34
GP241	63377	60345	95.22	56363	47825	75.46	45782	72.24
GP242	65941	57133	86.64	53472	42238	64.05	40994	62.17
GP243	64943	57874	89.12	54382	44323	68.25	42969	66.16
GP244	62926	55970	88.95	52105	39518	62.8	38117	60.57
GP245	66747	59071	88.5	55401	45228	67.76	43954	65.85
GP246	63525	58365	91.88	54459	41727	65.69	40370	63.55
