site_code/Field No.	Site	plot_number	CU Code	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
	WINDMILL_farm	Q4	CU0242	1990	31	SU7176229761	"51.06271, -0.97732036"	seed_mix	7.32	210	1	1	1	1
	WINDMILL_farm	Q7	CU0243	1990	31	SU7176229761	"51.06271, -0.97732036"	seed_mix	7.32	210	1	1	1	1
	WINDMILL_farm	Q10	CU0244	1990	31	SU7176229761	"51.06271, -0.97732036"	seed_mix	7.32	210	1	1	1	1
	WINDMILL_farm	Q13	CU0245	1990	31	SU7176229761	"51.06271, -0.97732036"	seed_mix	7.32	210	1	1	1	1
21	DRUIDS	Q1	CU0246	2002	19	SU2964250324	"51.251319, -1.5766624"	seed_mix	7.14	176.3	1	1	1	1
	DRUIDS	Q4	CU0247	2002	19	SU2964250324	"51.251319, -1.5766624"	seed_mix	7.14	176.3	1	1	1	1
	DRUIDS	Q7	CU0248	2002	19	SU2964250324	"51.251319, -1.5766624"	seed_mix	7.14	176.3	1	1	1	1
	DRUIDS	Q10	CU0249	2002	19	SU2964250324	"51.251319, -1.5766624"	seed_mix	7.14	176.3	1	1	1	1
	DRUIDS	Q13	CU0250	2002	19	SU2964250324	"51.251319, -1.5766624"	seed_mix	7.14	176.3	1	1	1	1
22	Stratton_Wood	Q1	CU0251	1995	26	SU1647289260	"51.601942, -1.7635665"	seed_mix	7.41	126.8	1	0	0	1
	Stratton_Wood	Q4	CU0252	1995	26	SU1647289260	"51.601942, -1.7635665"	seed_mix	7.41	126.8	1	0	0	1
	Stratton_Wood	Q7	CU0253	1995	26	SU1647289260	"51.601942, -1.7635665"	seed_mix	7.41	126.8	1	0	0	1
	Stratton_Wood	Q10	CU0254	1995	26	SU1647289260	"51.601942, -1.7635665"	seed_mix	7.41	126.8	1	0	0	1
	Stratton_Wood	Q13	CU0255	1995	26	SU1647289260	"51.601942, -1.7635665"	seed_mix	7.41	126.8	1	0	0	1
