sampleid	Site	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
GP312	TownsendFarm_3_big	2014	7	SU0886965184	51.385634, -1.8739384	Green_hay/bush	7.92	42.7	yes	no	yes	no
GP313	TownsendFarm_3_big	2014	7	SU0886965184	51.385634, -1.8739384	Green_hay/bush	7.92	42.7	yes	no	yes	no
GP314	TownsendFarm_3_big	2014	7	SU0886965184	51.385634, -1.8739384	Green_hay/bush	7.92	42.7	yes	no	yes	no
GP315	TownsendFarm_3_big	2014	7	SU0886965184	51.385634, -1.8739384	Green_hay/bush	7.92	42.7	yes	no	yes	no
GP316	ChurchFarm	2012	9	SU0979864321	51.377859, -1.8606121	seed_mix	8.63	20.7	yes	yes	yes	no
GP317	ChurchFarm	2012	9	SU0979864321	51.377859, -1.8606121	seed_mix	8.63	20.7	yes	yes	yes	no
GP318	ChurchFarm	2012	9	SU0979864321	51.377859, -1.8606121	seed_mix	8.63	20.7	yes	yes	yes	no
GP319	ChurchFarm	2012	9	SU0979864321	51.377859, -1.8606121	seed_mix	8.63	20.7	yes	yes	yes	no
GP320	ChurchFarm	2012	9	SU0979864321	51.377859, -1.8606121	seed_mix	8.63	20.7	yes	yes	yes	no
GP321	StowellFarms_1_adj	2015	6	SU1362464180	51.376513, -1.8056466	seed_mix	6.6	21.8	yes	yes	yes	yes
GP322	StowellFarms_1_adj	2015	6	SU1362464180	51.376513, -1.8056466	seed_mix	6.6	21.8	yes	yes	yes	yes
GP323	StowellFarms_1_adj	2015	6	SU1362464180	51.376513, -1.8056466	seed_mix	6.6	21.8	yes	yes	yes	yes
GP324	StowellFarms_1_adj	2015	6	SU1362464180	51.376513, -1.8056466	seed_mix	6.6	21.8	yes	yes	yes	yes
GP325	StowellFarms_1_adj	2015	6	SU1362464180	51.376513, -1.8056466	seed_mix	6.6	21.8	yes	yes	yes	yes
