k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__;f__;g__	24.0	25.5	27.0	28.5	30.0	1.0	56.75	89.5	118.25	273.0	25.0	46.0	112.0	178.0	259.0	8.0	22.5	116.0	160.5	225.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces	62.0	62.25	62.5	62.75	63.0	61.0	105.25	152.0	213.25	413.0	23.0	80.0	129.0	208.0	266.0	42.0	77.5	118.0	206.5	359.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	1.0	1.0	1.0	1.0	1.0	12.0	17.0	44.5	75.5	134.0	4.0	46.0	57.0	74.0	107.0	1.0	15.0	50.0	84.0	139.0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__	1.0	13.5	26.0	38.5	51.0	1.0	1.0	25.0	87.0	184.0	1.0	1.0	23.0	47.0	157.0	1.0	1.0	24.0	65.5	250.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae;g__Streptosporangium	10.0	12.25	14.5	16.75	19.0	1.0	15.25	21.5	28.5	58.0	1.0	14.0	20.0	35.0	66.0	1.0	14.0	20.0	35.0	61.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Ellin5301;g__	1.0	3.5	6.0	8.5	11.0	7.0	12.75	17.5	24.0	108.0	1.0	16.0	21.0	24.0	133.0	7.0	15.5	19.0	21.0	196.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;__;__	6.0	13.0	20.0	27.0	34.0	1.0	11.5	23.0	33.75	100.0	1.0	6.0	31.0	76.0	190.0	1.0	5.5	33.0	53.0	158.0
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__	5.0	6.75	8.5	10.25	12.0	6.0	23.0	32.0	63.75	131.0	1.0	28.0	49.0	91.0	141.0	1.0	4.5	40.0	65.0	109.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__koll13;g__mixed	3.0	4.0	5.0	6.0	7.0	1.0	6.0	20.0	37.25	48.0	1.0	15.0	20.0	39.0	66.0	1.0	11.5	21.0	36.5	85.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	1.0	3.25	5.5	7.75	10.0	1.0	17.25	36.5	48.0	62.0	1.0	16.0	21.0	40.0	58.0	1.0	16.0	27.0	40.5	97.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;__	1.0	3.75	6.5	9.25	12.0	14.0	23.0	27.0	44.75	74.0	1.0	14.0	22.0	29.0	51.0	1.0	15.5	22.0	30.5	50.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__	25.0	32.0	39.0	46.0	53.0	54.0	80.5	103.0	172.25	213.0	19.0	50.0	81.0	169.0	210.0	24.0	77.5	98.0	132.5	385.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	1.0	2.5	4.0	5.5	7.0	1.0	28.25	39.5	57.25	74.0	10.0	14.0	32.0	46.0	68.0	1.0	13.5	38.0	62.5	130.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;__	10.0	12.0	14.0	16.0	18.0	6.0	37.5	59.0	89.5	142.0	1.0	18.0	55.0	98.0	119.0	1.0	17.0	44.0	65.0	122.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium	1.0	3.25	5.5	7.75	10.0	1.0	13.25	18.5	25.75	59.0	1.0	12.0	16.0	29.0	75.0	1.0	11.5	25.0	40.0	63.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina	2.0	2.25	2.5	2.75	3.0	1.0	2.25	14.5	24.0	80.0	2.0	13.0	22.0	30.0	48.0	1.0	18.5	24.0	34.0	58.0
