index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Mortierellomycota,k__Fungi;__,k__Fungi;p__Fungi_phy_Incertae_sedis,k__Fungi;p__Zoopagomycota,k__Rhizaria;p__Cercozoa,k__Fungi;p__Rozellomycota,Unassigned;__,k__Fungi;p__Chytridiomycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Olpidiomycota,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis,k__Fungi;p__Monoblepharomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mucoromycota,k__Stramenopila;p__Ochrophyta,k__Viridiplantae;p__Anthophyta,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Sanchytriomycota,k__Metazoa;p__Chordata,k__Fungi;p__Basidiobolomycota,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Age_category
ChurchFarm,1437.0,7459.0,266.0,542.0,514.0,176.0,466.0,23.0,28.0,17.0,10.0,0.0,4.0,55.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2012,9,SU0979864321,"51.377859, -1.8606121",seed_mix,pH_8,20.7,Yes,Yes,Yes,No,New
StowellFarms_1_adj,680.0,4762.0,4018.0,1159.0,236.0,4.0,4.0,44.0,16.0,5.0,61.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2015,6,SU1362464180,"51.376513, -1.8056466",seed_mix,pH_6,21.8,Yes,Yes,Yes,Yes,New
MannorFmAltonBarnes,931.0,6420.0,1572.0,574.0,429.0,102.0,392.0,55.0,158.0,215.0,59.0,47.0,6.0,3.0,8.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,2012,9,SU1211561331,"51.35093, -1.827423",seed_mix,pH_8,21.6,Yes,Yes,Yes,No,New
HommingtonFarm,1242.0,3090.0,4417.0,1571.0,385.0,89.0,67.0,0.0,92.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2014,7,SU1332825982,"51.033048, -1.811306",seed_mix,pH_8,26.3,Yes,Yes,Yes,Yes,New
ThropeManor_1,709.0,7046.0,1282.0,471.0,347.0,122.0,38.0,733.0,31.0,62.0,93.0,0.0,2.0,24.0,0.0,0.0,23.0,1.0,0.0,0.0,9.0,7.0,0.0,0.0,39.0,2002,19,SU0886123850,"51.013962, -1.8750607",seed_mix,pH_7,78.1,Yes,No,Yes,No,Intermediate
ThropeManor_2,1368.0,5083.0,1666.0,2022.0,507.0,188.0,26.0,50.0,40.0,24.0,11.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1998,23,SU0843924348,"51.018447, -1.8810649",seed_mix,pH_7,28.8,Yes,No,Yes,Yes,Old
ThropeManor_3,2228.0,4505.0,904.0,2161.0,470.0,232.0,73.0,67.0,315.0,23.0,11.0,2.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2000,21,SU0901525189,"51.026001, -1.8728325",seed_mix,pH_8,28.5,Yes,No,Yes,No,Old
MannorFmBroadChalke,1225.0,4817.0,2178.0,1877.0,462.0,174.0,85.0,78.0,5.0,10.0,30.0,56.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2010,11,SU0468023121,"51.007455, -1.9346701",Green_hay_bush,pH_8,24.3,No,No,Yes,No,Intermediate
BigleyFm_1,5394.0,2801.0,784.0,948.0,624.0,118.0,89.0,114.0,113.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2014,7,ST9798720966,"50.988091, -2.0300532",seed_mix,pH_8,31.3,Yes,Yes,Yes,Yes,New
BigleyFm_2,1003.0,5158.0,1813.0,1750.0,693.0,147.0,26.0,267.0,68.0,8.0,51.0,3.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2017,4,ST9796821801,"50.9956, -2.0303288",seed_mix,pH_7,46.8,Yes,Yes,Yes,Yes,New
NorringtonMannorFm_1,5022.0,3987.0,291.0,576.0,677.0,133.0,82.0,36.0,52.0,55.0,74.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2009,12,ST9689721419,"50.99216, -2.0455866",seed_mix,pH_7,33.5,No,No,Yes,Yes,Intermediate
NorringtonMannorFm_2,1258.0,5472.0,1536.0,1319.0,914.0,255.0,49.0,12.0,17.0,24.0,53.0,50.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2009,12,ST9699420390,"50.982907, -2.0441957",seed_mix,pH_8,28.5,No,No,Yes,No,Intermediate
ManorFmBerwickStJohn_1,1088.0,5501.0,2030.0,1644.0,212.0,261.0,38.0,131.0,31.0,30.0,15.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2014,7,ST9468023123,"51.007466, -2.0772007",seed_mix,pH_7,17.83,Yes,Yes,Yes,No,New
ManorFmBerwickStJohn_3,1320.0,4461.0,2132.0,1918.0,735.0,97.0,33.0,236.0,37.0,5.0,17.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2018,3,ST9422022841,"51.004926, -2.0837525",seed_mix,pH_8,23.0,Yes,Yes,Yes,No,New
Jemma_1,3128.0,1940.0,424.0,1658.0,2022.0,978.0,607.0,6.0,4.0,8.0,24.0,194.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2010,11,SU1405276456,"51.486882, -1.7990143",Green_hay_bush,pH_8,33.5,Yes,Yes,Yes,No,Intermediate
Jemma_2,4293.0,2527.0,439.0,2611.0,528.0,190.0,125.0,90.0,28.0,149.0,13.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2008,13,SU1194873670,"51.46188, -1.8294093",Natural_regen,pH_7,104.2,No,Yes,No,No,Intermediate
Jemma_7,3460.0,4003.0,726.0,1730.0,696.0,146.0,100.0,21.0,4.0,15.0,22.0,50.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2014,7,SU1641473039,"51.456096, -1.7651546",Green_hay_bush,pH_7,106.1,No,No,Yes,Yes,New
Jemma_4,2979.0,3564.0,1412.0,2239.0,417.0,218.0,28.0,53.0,0.0,14.0,21.0,43.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2015,6,SU1261971802,"51.44507, -1.8198169",Green_hay_bush,pH_7,145.8,Yes,Yes,Yes,No,New
